#,Company,Symbol,Headquarter,Sector,Portfolio%,      Price,Chg,% Chg
235,"Xcel Energy, Inc.",XEL,"Minneapolis, Minnesota, USA",Utilities,0.09%,59.56,0.7,-1.19%
236,Sysco Corporation,SYY,"Houston, Texas",Consumer Staples,0.09%,64.4,1.14,-1.80%
237,"Cencora, Inc.",COR,"Dallas, Texas, USA",Health Care,0.09%,186.86,-2.12,(-1.12%)
238,D.R. Horton Inc.,DHI,"Arlington, Texas, USA",Consumer Discretionary,0.09%,104.52,0.86,-0.83%
239,Newmont Corporation,NEM,"Greenwood Village, Colorado",Materials,0.08%,40.05,0.62,-1.57%
240,Arch Capital Group Ltd,ACGL,"Hamilton, Bermuda, USA",Financials,0.08%,85.7,1.54,-1.83%
241,"Fidelity National Information Services, Inc.",FIS,"Jacksonville, Florida, USA",Financials,0.08%,52.6,0.78,-1.51%
242,"Ppg Industries, Inc.",PPG,"Pittsburgh, Pennsylvania",Materials,0.08%,130.35,1.89,-1.47%
243,"United Rentals, Inc.",URI,"Stamford, Connecticut",Industrials,0.08%,441.07,8.02,-1.85%
244,Public Service Enterprise Group Incorporated,PEG,"Newark, New Jersey, USA",Utilities ,0.08%,60.89,0.09,-0.15%
245,"Consolidated Edison, Inc.",ED,"New York, New York, USA",Utilities,0.08%,88.66,0.64,-0.73%
